"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0.00057717819586583
"14",0.00057717819586583
"15",0.000288589298310566
"16",0.000288589298310566
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0.000288589298310566
"34",0.00057717819586583
"35",0.00173152977840028
"36",0.00400688037185058
"37",0.00544979479893754
"38",0.0100337202810699
"39",0.0138021465180741
"40",0.0184542041791563
"41",0.023066223784046
"42",0.0231389659169893
"43",0.022335551095476
"44",0.0226147600780255
"45",0.0226257162543797
"46",0.018925253979929
"47",0.013539252692986
"48",0.00859083792696927
"49",0.00631553864473639
"50",0.00375162961721333
"51",0.00144294248393302
"52",0.00057717819586583
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0.000288589298310566
"60",0.00057717819586583
"61",0.00227536983162868
"62",0.00342971179507395
"63",0.00916799207150372
"64",0.0202172440746424
"65",0.036225015663321
"66",0.0630339550228808
"67",0.103086473725934
"68",0.15141233737518
"69",0.208010157549212
"70",0.272633412164358
"71",0.319409192365953
"72",0.35801320973476
"73",0.358063787094239
"74",0.334330464861253
"75",0.279236346014884
"76",0.20246340526202
"77",0.128267722426214
"78",0.074209595549157
"79",0.0381416321693785
"80",0.016370849980636
"81",0.00490596356401601
"82",0.00140960915059968
"83",0
"84",0
"85",0
"86",0
"87",0.000865766692659113
"88",0.00227536983162868
"89",0.00512787938191122
"90",0.0150946804131157
"91",0.0357836720964728
"92",0.0777077745033974
"93",0.150792786774029
"94",0.242930332780706
"95",0.362062633336843
"96",0.503975183788727
"97",0.66029723131653
"98",0.816567142765575
"99",0.937529763559698
"100",1.0219061953912
"101",1.03447202018269
"102",0.947625440534371
"103",0.794649807950343
"104",0.604892361385974
"105",0.409625220958446
"106",0.244764403782715
"107",0.137785488544792
"108",0.0584651747065878
"109",0.0235990850412742
"110",0.00624887197806972
"111",0.00057717819586583
"112",0
"113",0
"114",0.000288589298310566
"115",0.00169819644506694
"116",0.00512787938191122
"117",0.0225984192448364
"118",0.0745547460544362
"119",0.162992751233795
